i,size,mu,method,random,remerge,relative,time,modularity,conductance,jaccard
0,10000,0.6,Louvain,True,False,False,51.760350704193115,0.40581726054533085,0.4210427648091025,0.20660752277129535
1,10000,0.6,Louvain,True,False,False,49.08231329917908,0.40676048871719006,0.423518213795506,0.18291849842291916
2,10000,0.6,Louvain,True,False,False,54.275620460510254,0.40634090340414636,0.4212657955653174,0.20449509569508986
3,10000,0.6,Louvain,True,False,False,52.23026084899902,0.4060096109441657,0.42321609294230966,0.18456426211768923
4,10000,0.6,Louvain,True,False,False,60.23810029029846,0.4066473693874345,0.4229939692833907,0.18875303939635282
5,10000,0.6,Louvain,True,False,False,59.082724809646606,0.4062931420645899,0.4225690860622189,0.18869901470593184
6,10000,0.6,Louvain,True,False,False,53.91291809082031,0.4059607833629731,0.4224120868221043,0.19009700970995963
7,10000,0.6,Louvain,True,False,False,51.22854280471802,0.4069304124392443,0.4239586255591635,0.17510961539874603
8,10000,0.6,Louvain,True,False,False,53.148674726486206,0.4060146855919955,0.4220214921848142,0.19575395196174725
9,10000,0.6,Louvain,True,False,False,50.570456981658936,0.4058427201488442,0.4225254626867526,0.18475857546742944
