network,method,time,modularity,cunductance,accurary
10000_0.6_0,split_girvan_remerge,443.6342966556549,0.40609994868392946,0.42126975400914546,0.20095567896581884
10000_0.6_0,split_nx.girvan_mod,341.6976134777069,0.4059299339602913,0.42297908733451706,0.17922080120348732
10000_0.6_0,split_nx.girvan_mod_remerge,343.51756381988525,0.40459552837150575,0.32149733235232325,0.19306013214975443
10000_0.6_0,split_nx.girvan_con,632.3382613658905,0.4060512926994999,0.4222070144824197,0.19520141088926546
10000_0.6_0,split_nx.girvan_con_remerge,586.4801187515259,0.4058891555116083,0.3788261436820368,0.18695306460275465
10000_0.6_4,normal louvain,10.794697999954224,0.4063321107918018,0.42246552194615594,0.19009180757776123
10000_0.6_4,normal louvain,9.969173669815063,0.4064516469360177,0.42325094899298055,0.18774686549774705
10000_0.6_4,split_louvain,21.578978776931763,0.4063902916526146,0.4221356354931134,0.19706095559537687
10000_0.6_4,split_louvain_remerge,24.422844648361206,0.40670468275645694,0.42268673496552556,0.1928012398822747
10000_0.6_4,split_girvan,302.1200408935547,0.40633454404274094,0.4220824573060191,0.20092000004739824
10000_0.6_4,split_girvan_remerge,309.4321858882904,0.4062906668129619,0.4223285504745984,0.19733548216301072
10000_0.6_4,split_nx.girvan_mod,229.17953205108643,0.40631065765548297,0.4239623414336283,0.17933029234477965
10000_0.6_4,split_nx.girvan_mod_remerge,233.78576517105103,0.4053842227110756,0.35730071694812193,0.1861557576485867
10000_0.6_4,split_nx.girvan_con,430.95113039016724,0.4064269376939357,0.4224964144812644,0.19213270955835016
10000_0.6_4,split_nx.girvan_con_remerge,413.33282113075256,0.40472697837334337,0.30604968642514907,0.20111711925842296
10000_0.6_9,normal louvain,14.188873052597046,0.4056518649063073,0.4220115265604959,0.19457801191516977
10000_0.6_9,normal louvain,12.169084787368774,0.4056162884187652,0.421742379563497,0.19445260701125083
10000_0.6_9,split_louvain,20.4690260887146,0.40595366256482673,0.4228859714745262,0.18887442153354694
10000_0.6_9,split_louvain_remerge,20.764742374420166,0.4058897403572431,0.4221336509803508,0.20316825122307702
10000_0.6_9,split_girvan,304.6799705028534,0.40566936460334085,0.42192289629633084,0.19768524981862373
