network,method,time,modularity,cunductance,accurary
1000_0.6_3,split_louvain_remerge,1.066158533,0.360798155,0.40977146,0.684462904
1000_0.6_3,split_girvan,22.35524464,0.35755262,0.406534057,0.636390305
1000_0.6_3,split_girvan_remerge,16.91730976,0.360393701,0.407607807,0.724933559
1000_0.6_3,split_newman,110.0320635,0.338785779,0.406458852,0.410925335
1000_0.6_3,split_newman_remerge,84.57321215,0.335883139,0.410386174,0.349526657
***,***,***,***,***,***
100_0.4_4,normal louvain,0.037213326,0.188931608,0.357469731,0.250882145
100_0.4_4,split_louvain,0.037478924,0.173182964,0.314603237,0.154364678
100_0.4_4,split_louvain_remerge,0.050311327,0.181719851,0.346480174,0.218947368
100_0.4_4,split_girvan,0.265346766,0.192751506,0.335139472,0.204906205
100_0.4_4,split_girvan_remerge,0.335024118,0.178136614,0.343742926,0.207920792
100_0.4_4,split_newman,1.914370775,0.166652997,0.330259894,0.189741871
100_0.4_4,split_newman_remerge,1.498134375,0.173995472,0.422634144,0.389680923
***,***,***,***,***,***
100_0.5_4,normal louvain,0.034785032,0.187304178,0.379483479,0.185010707
100_0.5_4,split_louvain,0.049921036,0.18940385,0.349298598,0.203206035
100_0.5_4,split_louvain_remerge,0.049999237,0.190773379,0.386139413,0.241845294
100_0.5_4,split_girvan,0.306369066,0.191585285,0.329139411,0.177744953
100_0.5_4,split_girvan_remerge,0.26121974,0.184266685,0.34213825,0.239963083
100_0.5_4,split_newman,2.265548229,0.163408141,0.353791768,0.255328404
100_0.5_4,split_newman_remerge,2.899235964,0.185241299,0.436098977,0.305530372
***,***,***,***,***,***
100_0.6_4,normal louvain,0.036702871,0.188416316,0.355445057,0.130686887
100_0.6_4,split_louvain,0.043109655,0.190093708,0.333457583,0.122839794
100_0.6_4,split_louvain_remerge,0.056218624,0.187403787,0.353740999,0.148461881
100_0.6_4,split_girvan,0.082772732,0.182266773,0.350827949,0.128533569
100_0.6_4,split_girvan_remerge,0.085783482,0.173933575,0.29925289,0.124521073
