i,size,mu,method,random,remerge,relative,time,modularity,conductance,jaccard
1,1000,0.6,None,TRUE,FALSE,FALSE,1.719504595,0.362400326,0.41364806,0.555454347
2,1000,0.6,None,TRUE,FALSE,FALSE,1.818709612,0.355878346,0.410788568,0.537361345
3,1000,0.6,None,TRUE,FALSE,FALSE,2.280238628,0.34993348,0.410132343,0.474731657
4,1000,0.6,None,TRUE,FALSE,FALSE,1.820231915,0.362474655,0.407039652,0.675245652
5,1000,0.6,None,TRUE,FALSE,FALSE,1.599334478,0.360442661,0.415403743,0.480530401
6,1000,0.6,None,TRUE,FALSE,FALSE,2.579446316,0.344275172,0.404119191,0.403573808
7,1000,0.6,None,TRUE,FALSE,FALSE,3.041360855,0.356767704,0.416468616,0.513315104
8,1000,0.6,None,TRUE,FALSE,FALSE,1.70127964,0.359606255,0.412278079,0.5252009
9,1000,0.6,None,TRUE,FALSE,FALSE,1.764171839,0.361950604,0.412725083,0.640164725
0,10000,0.6,None,TRUE,FALSE,FALSE,27.33147669,0.406387264,0.422198034,0.190342675
1,10000,0.6,None,TRUE,FALSE,FALSE,35.68700933,0.406570296,0.423581143,0.181100394
2,10000,0.6,None,TRUE,FALSE,FALSE,30.45497108,0.406263277,0.422249928,0.191467778
3,10000,0.6,None,TRUE,FALSE,FALSE,32.35523677,0.405963615,0.423121677,0.189988054
4,10000,0.6,None,TRUE,FALSE,FALSE,25.46221447,0.406486736,0.422395933,0.197953304
5,10000,0.6,None,TRUE,FALSE,FALSE,28.84127116,0.406209449,0.422592894,0.186755914
6,10000,0.6,None,TRUE,FALSE,FALSE,32.19526911,0.406220453,0.421951941,0.20148101
7,10000,0.6,None,TRUE,FALSE,FALSE,27.13271809,0.406272914,0.42219379,0.190327365
8,10000,0.6,None,TRUE,FALSE,FALSE,27.7530098,0.405859336,0.422752893,0.190376892
9,10000,0.6,None,TRUE,FALSE,FALSE,32.65658689,0.405518228,0.421944007,0.188889096
0,1000,0.4,Louvain,FALSE,FALSE,FALSE,4.102695942,0.561995227,0.599219511,0.974604089
1,1000,0.4,Louvain,FALSE,FALSE,FALSE,4.07577157,0.562800518,0.6017979,0.941740771
2,1000,0.4,Louvain,FALSE,FALSE,FALSE,3.720670462,0.563694735,0.601783022,0.927912465
3,1000,0.4,Louvain,FALSE,FALSE,FALSE,4.005871296,0.564292085,0.599174157,1
4,1000,0.4,Louvain,FALSE,FALSE,FALSE,3.620560408,0.562109222,0.598802431,1
5,1000,0.4,Louvain,FALSE,FALSE,FALSE,3.921819448,0.561275568,0.600472937,0.974464711
6,1000,0.4,Louvain,FALSE,FALSE,FALSE,3.905090332,0.564143656,0.603499382,0.916903933
7,1000,0.4,Louvain,FALSE,FALSE,FALSE,3.883861065,0.565462211,0.601183512,0.94451146
8,1000,0.4,Louvain,FALSE,FALSE,FALSE,4.105142355,0.560565708,0.601137295,1
9,1000,0.4,Louvain,FALSE,FALSE,FALSE,4.026302099,0.562048877,0.599947937,0.974108944
0,10000,0.4,Louvain,FALSE,FALSE,FALSE,54.08869767,0.602654143,0.613119949,0.302606641
