i,size,mu,method,random,remerge,relative,time,modularity,conductance,jaccard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1000,0.6,Louvain,TRUE,FALSE,TRUE,0.788913012,0.356124966,0.404289825,0.575287156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1000,0.6,Louvain,TRUE,FALSE,TRUE,0.646844625,0.352997086,0.408205111,0.5589407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1000,0.6,Louvain,TRUE,FALSE,TRUE,0.713552475,0.363463421,0.404483472,0.750572816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1000,0.6,Louvain,TRUE,FALSE,TRUE,0.830330849,0.357051955,0.413450777,0.444717736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1000,0.6,Louvain,TRUE,FALSE,TRUE,0.645543337,0.350871509,0.407962153,0.459773956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1000,0.6,Louvain,TRUE,FALSE,TRUE,0.758276939,0.363867948,0.410041839,0.69566235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1000,0.6,Louvain,TRUE,FALSE,TRUE,0.688057661,0.357788917,0.405811044,0.618792883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1000,0.6,Louvain,TRUE,FALSE,TRUE,0.633941889,0.363518928,0.416809993,0.605734275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,10000,0.4,Louvain,TRUE,FALSE,TRUE,7.120746374,0.602624802,0.613114609,0.302711403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10000,0.4,Louvain,TRUE,FALSE,TRUE,7.88124609,0.601656522,0.611732349,0.305342644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10000,0.4,Louvain,TRUE,FALSE,TRUE,6.852802992,0.601966644,0.611952988,0.305182254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,10000,0.4,Louvain,TRUE,FALSE,TRUE,7.445449352,0.602260422,0.612703476,0.300106219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10000,0.4,Louvain,TRUE,FALSE,TRUE,6.92726922,0.60167824,0.611834663,0.296305725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,10000,0.4,Louvain,TRUE,FALSE,TRUE,7.256829262,0.601878267,0.612263676,0.306121749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,10000,0.4,Louvain,TRUE,FALSE,TRUE,6.415483475,0.60182043,0.611569679,0.328589155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10000,0.4,Louvain,TRUE,FALSE,TRUE,4.223350763,0.602328652,0.612650619,0.304174611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
