i,size,mu,method,random,remerge,relative,time,modularity,conductance,jaccard
9,1000,0.5,GN_conductance,True,False,False,90.8641893863678,0.46185338591304576,0.5005053265357231,0.9609612761045231
0,10000,0.5,GN_conductance,True,False,False,898.8579087257385,0.5036248453274023,0.5163316194897202,0.24551973383932185
1,10000,0.5,GN_conductance,True,False,False,917.9150285720825,0.503306356093018,0.5166127631672438,0.2398478937478386
2,10000,0.5,GN_conductance,True,False,False,868.1942431926727,0.5038794460293013,0.5164596052108729,0.24525737994416782
3,10000,0.5,GN_conductance,True,False,False,658.9270005226135,0.5037533726051578,0.5170628295992254,0.23755442429345358
4,10000,0.5,GN_conductance,True,False,False,439.8581190109253,0.5036255056686778,0.5160977012024992,0.25631613139285686
5,10000,0.5,GN_conductance,True,False,False,447.9023470878601,0.503843759104878,0.5163366217284187,0.24116439650043844
6,10000,0.5,GN_conductance,True,False,False,453.46035265922546,0.5037547906890435,0.516356863774168,0.2560973960297983
7,10000,0.5,GN_conductance,True,False,False,458.6317620277405,0.5040694364248393,0.5173888822058986,0.23282291833944868
8,10000,0.5,GN_conductance,True,False,False,440.08909797668457,0.504430968265002,0.5175455325890337,0.2328616451087678
9,10000,0.5,GN_conductance,True,False,False,448.65750312805176,0.5036595826679918,0.517109800615116,0.22718505872564804
0,1000,0.6,GN_conductance,True,False,False,46.39529299736023,0.3645903872538106,0.42040557216107033,0.5110224373650815
1,1000,0.6,GN_conductance,True,False,False,35.48534059524536,0.3677200075771595,0.41481018167075656,0.6241497283155565
2,1000,0.6,GN_conductance,True,False,False,54.660237312316895,0.3610090790972146,0.4093272945004385,0.6986355081555834
3,1000,0.6,GN_conductance,True,False,False,66.23099875450134,0.3581912896144956,0.4107089600725049,0.6123495012039903
4,1000,0.6,GN_conductance,True,False,False,52.52049922943115,0.363347257006373,0.40934196073622386,0.6720969260365929
5,1000,0.6,GN_conductance,True,False,False,39.13731861114502,0.3628129493489322,0.4062444241364396,0.6347640190758099
6,1000,0.6,GN_conductance,True,False,False,49.61262011528015,0.3605283766393596,0.40745266020935933,0.6188978736148547
7,1000,0.6,GN_conductance,True,False,False,63.76530981063843,0.36084985306363415,0.40974752646166346,0.6284949979845359
8,1000,0.6,GN_conductance,True,False,False,68.26026511192322,0.364562146260988,0.4166450301577187,0.6104015566955598
9,1000,0.6,GN_conductance,True,False,False,87.31830787658691,0.3594541901649309,0.4142840368466585,0.5562624916722185
0,10000,0.6,GN_conductance,True,False,False,382.0156469345093,0.4064121940927099,0.42233434177022866,0.1971929726656645
1,10000,0.6,GN_conductance,True,False,False,372.455118894577,0.4065771273030466,0.4223926745361666,0.19392469339055476
2,10000,0.6,GN_conductance,True,False,False,350.10559034347534,0.4062477565878056,0.4228497757411098,0.18590727697453413
3,10000,0.6,GN_conductance,True,False,False,356.2462387084961,0.405907570502549,0.4221946293208707,0.1863717427704329
4,10000,0.6,GN_conductance,True,False,False,351.4611005783081,0.4060783766214948,0.4222822007814815,0.19189122552246268
5,10000,0.6,GN_conductance,True,False,False,270.3358852863312,0.4059097287246239,0.4222478649167972,0.19072866596925575
6,10000,0.6,GN_conductance,True,False,False,259.0002453327179,0.4058951082476177,0.4224216371381613,0.1864051072788413
7,10000,0.6,GN_conductance,True,False,False,259.25393533706665,0.4065133517585763,0.4232275411334916,0.17922060903815107
8,10000,0.6,GN_conductance,True,False,False,277.92535042762756,0.4062031077845207,0.42258132014676686,0.19256887897378694
9,10000,0.6,GN_conductance,True,False,False,271.568265914917,0.40541647078632226,0.42063163553437266,0.20277689982175862
