i,size,mu,method,random,remerge,relative,time,modularity,conductance,jaccard
8,1000,0.5,GN_modularity,True,True,False,78.9715051651001,0.436355186916785,0.22763623697610125,0.6854619565217391
9,1000,0.5,GN_modularity,True,True,False,46.052091121673584,0.40329990952385025,0.17263021078506924,0.7481597748430396
0,10000,0.5,GN_modularity,True,True,False,556.5776433944702,0.5003532379017481,0.3878685252066266,0.24872929480655487
1,10000,0.5,GN_modularity,True,True,False,582.3506994247437,0.5023678778899044,0.46967556547032874,0.24228344591927645
2,10000,0.5,GN_modularity,True,True,False,544.1703391075134,0.49955981065979727,0.34947095965892283,0.2521243502943618
3,10000,0.5,GN_modularity,True,True,False,554.0003049373627,0.5031673581431764,0.48218783095119555,0.2538261729962751
4,10000,0.5,GN_modularity,True,True,False,568.3091416358948,0.5032761590841395,0.516025667906044,0.24607893601127534
5,10000,0.5,GN_modularity,True,True,False,568.2852675914764,0.5020865669014288,0.4126025041903417,0.24695934003750183
6,10000,0.5,GN_modularity,True,True,False,548.730740070343,0.4984378942289216,0.3045237875083443,0.2676651773408804
7,10000,0.5,GN_modularity,True,True,False,564.8232231140137,0.5019132887372204,0.40173708367943717,0.2483084210770444
8,10000,0.5,GN_modularity,True,True,False,545.3497598171234,0.5031531012540484,0.4619958240297972,0.2445952743778757
9,10000,0.5,GN_modularity,True,True,False,540.5186176300049,0.5020675814364574,0.4171267621465964,0.23949214297404153
0,1000,0.6,GN_modularity,True,True,False,42.55453062057495,0.3593066044808806,0.33429586628244445,0.5335822234985821
1,1000,0.6,GN_modularity,True,True,False,67.77796149253845,0.35945033779976704,0.31977286195576793,0.5825181445250868
2,1000,0.6,GN_modularity,True,True,False,78.0709764957428,0.31870801113900116,0.1344836246324035,0.5822574096630125
3,1000,0.6,GN_modularity,True,True,False,84.62222504615784,0.32475646605148306,0.14842714056192485,0.6371030209140202
4,1000,0.6,GN_modularity,True,True,False,64.98686122894287,0.35757161433068096,0.318654174995212,0.6796942477111764
5,1000,0.6,GN_modularity,True,True,False,44.081074953079224,0.34898404584599674,0.20979239083941492,0.6375631908148403
6,1000,0.6,GN_modularity,True,True,False,56.18732190132141,0.34084170998432217,0.21519675103124258,0.49161132471163926
7,1000,0.6,GN_modularity,True,True,False,48.643537759780884,0.32429099472578976,0.12891780745510706,0.5553315326967703
8,1000,0.6,GN_modularity,True,True,False,55.68804693222046,0.33334265042759287,0.15032556918407092,0.6272821219428177
9,1000,0.6,GN_modularity,True,True,False,51.68356275558472,0.3401416703585865,0.19962496386837514,0.5775246713734056
0,10000,0.6,GN_modularity,True,True,False,405.80882954597473,0.4031315124826845,0.30506571347946587,0.20318648914959156
1,10000,0.6,GN_modularity,True,True,False,411.33543968200684,0.4052243614562181,0.3473523558648486,0.18536736175905713
2,10000,0.6,GN_modularity,True,True,False,403.1330554485321,0.40332705169548694,0.28921195635733743,0.20280290852678387
3,10000,0.6,GN_modularity,True,True,False,421.82361578941345,0.40559183918131597,0.39544932447546155,0.1871396408763934
4,10000,0.6,GN_modularity,True,True,False,420.2224655151367,0.4038718549009248,0.282465531386218,0.18866914648309294
5,10000,0.6,GN_modularity,True,True,False,413.3083746433258,0.40447933701295147,0.32516482586116036,0.19488450480816893
6,10000,0.6,GN_modularity,True,True,False,407.5906071662903,0.4053957952963219,0.38463617069511313,0.19864597793096958
7,10000,0.6,GN_modularity,True,True,False,403.5498011112213,0.40472044883056113,0.3013376506182016,0.18444810014845725
8,10000,0.6,GN_modularity,True,True,False,417.1637899875641,0.4032812456182826,0.2772425285162564,0.1901098215121749
9,10000,0.6,GN_modularity,True,True,False,319.56595492362976,0.4044188653696077,0.35582162944090223,0.19149955748867037
